date,1-year-treasury-rate-yield-chart_monthly_value,10-year-treasury-bond-rate-yield-chart_monthly_value,30-year-fixed-mortgage-rate-chart_monthly_value,30-year-treasury-bond-rate-yield-chart_monthly_value,5-year-treasury-bond-rate-yield-chart_monthly_value,capacity-utilization-rate-historical-chart_monthly_value,debt-to-gdp-ratio-historical-chart_monthly_value,fed-funds-rate-historical-chart_monthly_value,historical-inflation-rate-by-year_monthly_expanded_value,industrial-production-historical-chart_monthly_value,national-debt-growth-by-year_monthly_expanded_value,retail-sales-historical-chart_monthly_value,united-states-economic-growth-rate_quarterly_expanded_value,us-national-unemployment-rate_monthly_value
2005-09,3.8452380952380953,4.199047619047619,5.91,,4.006190476190476,78.758,60.359,3.6229999999999998,3.42,95.346,7.56,173016.0,3.57,5.0
2005-10,4.1754999999999995,4.4635,6.15,,4.3285,79.598,61.32,3.7793548387096774,3.42,96.498,7.56,172826.0,2.53,5.0
2005-11,4.334,4.535,6.28,,4.4525,80.364,61.32,3.999,3.42,97.565,7.56,175328.0,2.53,5.0
2005-12,4.352857142857142,4.467142857142857,6.22,,4.392380952380953,80.628,61.32,4.1570967741935485,3.42,98.022,7.56,175369.0,2.53,4.9
2006-01,4.445,4.416,6.12,,4.3454999999999995,80.665,61.556,4.285161290322581,2.54,98.204,6.24,179293.0,5.32,4.7
2006-02,4.684736842105264,4.568947368421052,6.26,4.536923076923077,4.572105263157895,80.58,61.556,4.491428571428572,2.54,98.24,6.24,177887.0,5.32,4.8
2006-03,4.773478260869565,4.7239130434782615,6.35,4.734347826086957,4.716086956521739,80.655,61.556,4.589354838709677,2.54,98.474,6.24,178100.0,5.32,4.7
2006-04,4.897368421052631,4.990526315789474,6.58,5.062631578947368,4.902105263157895,80.782,61.221,4.790333333333334,2.54,98.777,6.24,178088.0,0.93,4.7
2006-05,4.995,5.11,6.62,5.201363636363637,4.997727272727273,80.662,61.221,4.940322580645161,2.54,98.788,6.24,177200.0,0.93,4.6
2006-06,5.155,5.106363636363636,6.78,5.154090909090909,5.067272727272727,80.782,61.221,4.991,2.54,99.107,6.24,177343.0,0.93,4.6
