date,fed-funds-rate-historical-chart_monthly_value,1-year-treasury-rate-yield-chart_monthly_value,5-year-treasury-bond-rate-yield-chart_monthly_value,10-year-treasury-bond-rate-yield-chart_monthly_value,30-year-treasury-bond-rate-yield-chart_monthly_value,30-year-fixed-mortgage-rate-chart_monthly_value,historical-inflation-rate-by-year_monthly_expanded_value,debt-to-gdp-ratio-historical-chart_monthly_value,national-debt-growth-by-year_monthly_expanded_value,capacity-utilization-rate-historical-chart_monthly_value,industrial-production-historical-chart_monthly_value,retail-sales-historical-chart_monthly_value,us-national-unemployment-rate_monthly_value,united-states-population-2023-09-10,united-states-economic-growth-rate_quarterly_expanded_value
4-Jul,1.263548387,2.095238095,3.688571429,4.498095238,,6.08,3.26,59.966,8.55,78.216,93.611,168455,5.5,0.97,3.78
4-Aug,1.429354839,2.015909091,3.474545455,4.281363636,,5.82,3.26,59.966,8.55,78.287,93.696,168592,5.4,0.97,3.78
4-Sep,1.605,2.116666667,3.355238095,4.125714286,,5.72,3.26,59.966,8.55,78.362,93.796,171006,5.4,0.97,3.78
4-Oct,1.760967742,2.228,3.3475,4.097,,5.64,3.26,60.637,8.55,79.033,94.623,171247,5.5,0.97,4.01
4-Nov,1.932,2.5,3.525,4.194,,5.72,3.26,60.637,8.55,79.192,94.849,171015,5.4,0.97,4.01
4-Dec,2.156129032,2.670454545,3.598181818,4.230909091,,5.81,3.26,60.637,8.55,79.763,95.584,173122,5.4,0.97,4.01
5-Jan,2.279354839,2.8605,3.707,4.2215,,5.66,3.42,60.913,7.56,79.998,95.929,171553,5.3,0.98,4.43
5-Feb,2.501785714,3.029473684,3.766315789,4.165263158,,5.69,3.42,60.913,7.56,80.514,96.629,173090,5.4,0.98,4.43
5-Mar,2.629032258,3.302272727,4.165454545,4.497727273,,6.04,3.42,60.913,7.56,80.319,96.491,172750,5.2,0.98,4.43
5-Apr,2.785,3.316666667,3.998571429,4.340952381,,5.78,3.42,60.642,7.56,80.39,96.681,173765,5.2,0.98,1.85
5-May,3.002580645,3.330952381,3.852857143,4.144285714,,5.65,3.42,60.642,7.56,80.387,96.793,172790,5.1,0.98,1.85
5-Jun,3.035666667,3.363181818,3.772272727,3.998181818,,5.53,3.42,60.642,7.56,80.613,97.19,177593,5,0.98,1.85
5-Jul,3.262580645,3.641,3.979,4.1775,,5.77,3.42,60.359,7.56,80.263,96.898,177822,5,0.98,3.57
5-Aug,3.499677419,3.872173913,4.122173913,4.262608696,,5.77,3.42,60.359,7.56,80.42,97.222,175067,4.9,0.98,3.57
5-Sep,3.623,3.845238095,4.006190476,4.199047619,,5.91,3.42,60.359,7.56,78.758,95.346,173016,5,0.98,3.57
5-Oct,3.779354839,4.1755,4.3285,4.4635,,6.15,3.42,61.32,7.56,79.598,96.498,172826,5,0.98,2.53
5-Nov,3.999,4.334,4.4525,4.535,,6.28,3.42,61.32,7.56,80.364,97.565,175328,5,0.98,2.53
5-Dec,4.157096774,4.352857143,4.392380952,4.467142857,,6.22,3.42,61.32,7.56,80.628,98.022,175369,4.9,0.98,2.53
6-Jan,4.28516129,4.445,4.3455,4.416,,6.12,2.54,61.556,6.24,80.665,98.204,179293,4.7,0.98,5.32
6-Feb,4.491428571,4.684736842,4.572105263,4.568947368,4.536923077,6.26,2.54,61.556,6.24,80.58,98.24,177887,4.8,0.98,5.32
6-Mar,4.589354839,4.773478261,4.716086957,4.723913043,4.734347826,6.35,2.54,61.556,6.24,80.655,98.474,178100,4.7,0.98,5.32
6-Apr,4.790333333,4.897368421,4.902105263,4.990526316,5.062631579,6.58,2.54,61.221,6.24,80.782,98.777,178088,4.7,0.98,0.93
6-May,4.940322581,4.995,4.997727273,5.11,5.201363636,6.62,2.54,61.221,6.24,80.662,98.788,177200,4.6,0.98,0.93
